,precision,recall,f1-score,support
BENIGN,0.9999000146132488,0.997996422731774,0.9989473118031704,130267.0
Bot,0.8431372549019608,0.9772727272727273,0.9052631578947369,88.0
DDoS,0.9997549219834981,1.0,0.9998774459741002,12238.0
DoS Hulk,0.9973646382367034,1.0,0.9986805805445604,4163.0
DoS Slowhttptest,0.9952107279693486,0.9933078393881453,0.9942583732057416,1046.0
DoS slowloris,0.9935064935064936,0.9944289693593314,0.9939675174013921,1077.0
FTP-Patator,0.9974704890387859,1.0,0.9987336428872943,1183.0
Infiltration,0.8,1.0,0.888888888888889,4.0
PortScan,0.9101871101871102,0.9954524783992724,0.9509122502172024,2199.0
Web Attack  Brute Force,0.7762237762237763,0.7551020408163265,0.7655172413793103,294.0
Web Attack  Sql Injection,0.5,0.75,0.6,4.0
Web Attack  XSS,0.47619047619047616,0.5384615384615384,0.5054151624548736,130.0
accuracy,0.9972559318370848,0.9972559318370848,0.9972559318370848,0.9972559318370848
macro avg,0.8574121585709502,0.9168351680357597,0.8833717977209393,152693.0
weighted avg,0.9974459963271416,0.9972559318370848,0.9973169488661197,152693.0
